Date,Open,High,Low,Close,Adj Close,Volume
2003-04-28,90.440002,92.190002,90.300003,91.790001,62.551666,46432900
2003-04-29,92.139999,92.800003,91.400002,92.110001,62.769718,52017100
2003-04-30,91.910004,92.570000,91.410004,91.910004,62.633423,48709100
2003-05-01,91.919998,92.730003,90.500000,91.900002,62.626579,50240400
2003-05-02,91.559998,93.470001,91.489998,93.209999,63.519341,50201500
2003-05-05,93.470001,93.779999,92.500000,93.029999,63.396675,35437800
2003-05-06,93.040001,94.379997,93.000000,93.910004,63.996346,44401000
2003-05-07,93.419998,94.139999,92.970001,93.389999,63.641979,41413100
2003-05-08,92.519997,93.330002,92.279999,92.449997,63.001438,40570700
2003-05-09,92.830002,93.800003,92.610001,93.730003,63.873707,33608100
2003-05-12,93.500000,95.120003,93.279999,94.879997,64.657410,35662300
2003-05-13,94.529999,95.180000,94.260002,94.709999,64.541527,39253600
2003-05-14,95.089996,95.239998,93.910004,94.510002,64.405235,32195100
2003-05-15,94.889999,95.330002,94.250000,95.110001,64.814110,43879200
2003-05-16,94.889999,95.449997,94.260002,94.870003,64.650551,38905000
2003-05-19,94.150002,94.419998,92.330002,92.650002,63.137730,41606000
2003-05-20,92.820000,93.029999,91.589996,92.459999,63.008251,55404600
2003-05-21,92.110001,92.879997,91.910004,92.650002,63.137730,49333800
2003-05-22,92.949997,94.050003,92.680000,93.570000,63.764683,38421800
2003-05-23,93.529999,93.980003,93.139999,93.760002,63.894123,26155900
2003-05-27,93.300003,95.839996,93.070000,95.400002,65.011757,43719200
2003-05-28,95.849998,96.470001,95.430000,95.669998,65.195724,37727100
2003-05-29,95.879997,96.820000,95.080002,95.419998,65.025383,50844200
2003-05-30,95.900002,97.089996,95.559998,96.949997,66.068016,52529500
2003-06-02,97.529999,98.449997,96.669998,97.349998,66.340599,50305500
2003-06-03,97.150002,97.839996,96.849998,97.750000,66.613152,38254500
2003-06-04,97.660004,99.349998,97.570000,99.160004,67.574051,49360700
2003-06-05,98.580002,99.650002,98.269997,99.650002,67.907974,46262400
2003-06-06,100.400002,101.400002,99.129997,99.260002,67.642212,60356800
2003-06-09,98.769997,99.099998,97.769997,98.250000,66.953896,37808500
2003-06-10,98.459999,99.260002,98.190002,99.250000,67.635368,29965900
2003-06-11,99.160004,100.389999,98.709999,100.300003,68.350929,37610200
2003-06-12,100.750000,100.900002,99.620003,100.610001,68.562180,36442000
2003-06-13,100.610001,100.750000,98.949997,99.559998,67.846626,48628300
2003-06-16,99.959999,101.699997,99.800003,101.660004,69.277672,36326300
2003-06-17,102.070000,102.180000,101.230003,101.660004,69.277672,36801800
